Samples	SBS96A	SBS96B
TCGA-US-A774-01A-21D-A32N-08	5.30E-01	5.29E-01
TCGA-US-A776-01A-13D-A33T-08	6.98E-01	6.98E-01
TCGA-US-A779-01A-11D-A32N-08	4.10E-01	4.10E-01
TCGA-US-A77E-01A-11D-A32N-08	3.42E-01	3.41E-01
TCGA-US-A77G-01A-11D-A32N-08	7.70E-01	7.66E-01
TCGA-XD-AAUG-01A-61D-A40W-08	3.25E-01	3.25E-01
TCGA-XD-AAUH-01A-42D-A40W-08	3.46E-01	3.46E-01
TCGA-XD-AAUI-01A-42D-A40W-08	5.14E-01	5.13E-01
TCGA-XD-AAUL-01A-21D-A397-08	4.06E-01	4.06E-01
TCGA-XN-A8T3-01A-11D-A36O-08	6.51E-01	6.52E-01
TCGA-XN-A8T5-01A-12D-A36O-08	2.06E-01	2.06E-01
TCGA-YB-A89D-01A-12D-A36O-08	4.33E-01	4.33E-01
TCGA-YH-A8SY-01A-11D-A377-08	5.89E-01	5.90E-01
TCGA-YY-A8LH-01A-11D-A36O-08	6.35E-01	6.35E-01
TCGA-Z5-AAPL-01A-12D-A40W-08	1.31E-01	1.31E-01
