Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS107
TCGA-HZ-7926-01A-11D-2154-08	11	26	0	0	0	0
TCGA-HZ-8001-01A-11D-2201-08	15	24	0	8	0	0
TCGA-HZ-8002-01A-11D-2201-08	3	0	0	0	6	0
TCGA-HZ-8003-01A-21D-2201-08	2	8	0	0	3	0
TCGA-HZ-8005-01A-11D-2201-08	20	35	0	0	0	0
TCGA-HZ-8315-01A-11D-2396-08	19	32	0	10	0	0
TCGA-HZ-8317-01A-11D-2396-08	5	8	0	0	0	0
TCGA-HZ-8636-01A-21D-2396-08	22	24	0	0	0	0
TCGA-HZ-8637-01A-11D-2396-08	17	8	0	6	0	0
TCGA-HZ-A49H-01A-11D-A26I-08	4	1	0	5	0	0
TCGA-HZ-A49I-01A-12D-A26I-08	18	27	0	0	0	0
TCGA-HZ-A4BH-01A-11D-A26I-08	23	27	0	14	0	0
TCGA-HZ-A4BK-01A-11D-A26I-08	23	29	0	0	0	0
TCGA-HZ-A77O-01A-11D-A33T-08	6	10	0	4	7	0
TCGA-HZ-A77P-01A-11D-A33T-08	25	18	0	0	0	0
TCGA-HZ-A77Q-01A-11D-A36O-08	23	28	0	0	0	0
TCGA-HZ-A8P0-01A-11D-A36O-08	8	17	0	5	9	0
TCGA-HZ-A8P1-01A-11D-A377-08	16	33	0	8	0	0
TCGA-HZ-A9TJ-01A-11D-A40W-08	35	40	0	12	0	0
TCGA-IB-7644-01A-11D-2154-08	8	22	0	0	0	0
TCGA-IB-7645-01A-22D-2201-08	9	20	0	0	0	0
TCGA-IB-7646-01A-11D-2154-08	27	34	0	0	0	0
TCGA-IB-7647-01A-11D-2154-08	17	15	0	0	17	0
TCGA-IB-7649-01A-11D-2154-08	4	13	0	7	13	0
TCGA-IB-7651-01A-11D-2154-08	1463	2891	525	1933	3935	6634
TCGA-IB-7652-01A-11D-2154-08	11	39	0	13	25	0
TCGA-IB-7654-01A-11D-2154-08	28	11	0	0	0	0
TCGA-IB-7885-01A-11D-2154-08	16	21	0	7	0	0
TCGA-IB-7886-01A-11D-2154-08	25	24	0	0	0	0
TCGA-IB-7887-01A-11D-2154-08	11	15	0	0	0	0
TCGA-IB-7888-01A-11D-2154-08	8	19	0	0	0	0
TCGA-IB-7889-01A-11D-2154-08	20	12	0	12	0	0
TCGA-IB-7890-01A-12D-2201-08	26	21	0	0	18	0
TCGA-IB-7891-01A-11D-2201-08	18	8	0	0	0	0
