Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-2L-AAQI-01A-12D-A397-08	4.84E-01	8.91E-01	1.08E+00	6.86E-01
TCGA-2L-AAQJ-01A-12D-A397-08	9.47E-01	1.61E+00	1.77E+00	6.32E-01
TCGA-2L-AAQL-01A-11D-A38G-08	9.98E-01	1.21E+00	1.26E+00	8.68E-01
TCGA-2L-AAQM-01A-11D-A397-08	3.95E-01	2.47E-01	9.97E-01	9.10E-01
TCGA-3A-A9I5-01A-11D-A38G-08	4.32E-01	6.77E-01	6.69E-01	4.43E-01
TCGA-3A-A9I7-01A-21D-A38G-08	3.01E-01	3.60E-01	3.92E-01	3.03E-01
TCGA-3A-A9I9-01A-11D-A38G-08	4.80E-01	1.13E+00	1.91E+00	1.54E+00
TCGA-3A-A9IB-01A-21D-A397-08	3.92E-01	8.24E-01	9.53E-01	7.33E-01
TCGA-3A-A9IC-01A-11D-A38G-08	2.48E-01	9.16E-01	1.26E+00	9.41E-01
TCGA-3A-A9IH-01A-12D-A397-08	5.31E-01	1.18E+00	1.36E+00	7.30E-01
TCGA-3A-A9IJ-01A-11D-A397-08	3.43E-01	4.73E-01	5.31E-01	5.74E-01
TCGA-3A-A9IL-01A-11D-A38G-08	0.00E+00	1.41E-01	2.15E-01	2.26E-01
TCGA-3A-A9IN-01A-11D-A397-08	2.78E-01	5.98E-01	8.01E-01	6.29E-01
TCGA-3A-A9IO-01A-11D-A38G-08	2.87E-01	1.83E-01	3.26E-01	2.65E-01
TCGA-3A-A9IR-01A-11D-A38G-08	3.74E-01	5.62E-01	4.91E-01	3.66E-01
TCGA-3A-A9IS-01A-21D-A397-08	1.03E-01	3.87E-01	9.00E-01	8.36E-01
TCGA-3A-A9IU-01A-11D-A397-08	4.27E-01	7.78E-01	8.85E-01	6.12E-01
TCGA-3A-A9IV-01A-11D-A40W-08	4.94E-01	7.05E-01	1.13E+00	9.61E-01
TCGA-3A-A9IX-01A-11D-A40W-08	0.00E+00	4.41E-01	4.47E-01	2.00E-01
TCGA-3A-A9IZ-01A-12D-A40W-08	4.85E-01	6.58E-01	1.06E+00	9.41E-01
TCGA-3A-A9J0-01A-11D-A40W-08	9.77E-01	1.87E+00	2.10E+00	6.46E-01
TCGA-3E-AAAY-01A-11D-A38G-08	4.77E-01	5.95E-01	7.50E-01	4.60E-01
TCGA-3E-AAAZ-01A-11D-A38G-08	6.11E-01	1.10E+00	1.25E+00	8.02E-01
TCGA-F2-6879-01A-11D-2154-08	4.26E-01	8.91E-01	9.70E-01	3.49E-01
TCGA-F2-6880-01A-11D-2154-08	0.00E+00	1.97E-02	3.78E-02	4.09E-02
TCGA-F2-7273-01A-11D-2154-08	0.00E+00	1.41E-02	3.14E-02	3.38E-02
TCGA-F2-A44G-01A-11D-A26I-08	6.74E-02	9.86E-01	1.12E+00	7.54E-01
TCGA-F2-A44H-01A-11D-A26I-08	2.05E-01	4.17E-01	5.35E-01	4.46E-01
TCGA-F2-A7TX-01A-33D-A38G-08	4.79E-01	9.48E-01	1.11E+00	7.18E-01
TCGA-F2-A8YN-01A-11D-A377-08	4.31E-01	1.02E+00	1.16E+00	7.38E-01
TCGA-FB-A4P6-01A-12D-A26I-08	0.00E+00	4.73E-02	4.65E-02	4.82E-02
TCGA-FB-A5VM-01A-11D-A32N-08	7.00E-01	1.08E+00	1.27E+00	8.65E-01
TCGA-FB-A78T-01A-12D-A32N-08	4.88E-01	8.95E-01	9.87E-01	6.86E-01
TCGA-FB-A7DR-01A-21D-A33T-08	5.94E-01	9.48E-01	9.01E-01	5.07E-01
TCGA-FB-AAPP-01A-12D-A40W-08	9.25E-01	2.03E+00	2.21E+00	7.42E-01
TCGA-FB-AAPQ-01A-11D-A40W-08	5.72E-01	7.91E-01	8.99E-01	5.83E-01
TCGA-FB-AAPS-01A-12D-A397-08	4.49E-01	7.03E-01	6.63E-01	2.75E-01
TCGA-FB-AAPU-01A-31D-A40W-08	7.38E-01	1.11E+00	1.52E+00	1.15E+00
TCGA-FB-AAPY-01A-11D-A40W-08	4.00E-01	7.96E-01	7.45E-01	3.45E-01
TCGA-FB-AAPZ-01A-11D-A40W-08	4.87E-01	1.03E+00	9.94E-01	4.21E-01
TCGA-FB-AAQ0-01A-31D-A40W-08	3.88E-01	9.66E-01	1.11E+00	8.22E-01
TCGA-FB-AAQ1-01A-12D-A40W-08	4.36E-01	9.26E-01	8.42E-01	1.16E-01
TCGA-FB-AAQ2-01A-31D-A40W-08	3.37E-01	9.11E-01	9.15E-01	1.02E-01
TCGA-FB-AAQ3-01A-11D-A40W-08	5.30E-01	8.51E-01	1.05E+00	6.50E-01
TCGA-FB-AAQ6-01A-11D-A40W-08	4.12E-01	1.03E+00	1.34E+00	1.05E+00
TCGA-FZ-5919-01A-11D-1609-08	4.67E-01	8.66E-01	8.87E-01	5.07E-01
TCGA-FZ-5920-01A-11D-1609-08	7.08E-01	1.23E+00	1.25E+00	7.00E-01
TCGA-FZ-5921-01A-11D-1609-08	5.76E-01	2.00E+00	1.98E+00	5.64E-01
TCGA-FZ-5922-01A-11D-1609-08	3.13E-01	7.91E-01	9.16E-01	7.61E-01
TCGA-FZ-5923-01A-12D-1609-08	5.44E-01	1.85E+00	2.04E+00	4.77E-01
TCGA-FZ-5924-01A-13D-1609-08	4.34E-01	8.29E-01	9.34E-01	4.54E-01
TCGA-FZ-5926-01A-11D-1609-08	9.27E-02	8.61E-01	1.01E+00	4.76E-01
TCGA-H6-8124-01A-11D-2396-08	4.78E-01	9.68E-01	1.02E+00	5.14E-01
TCGA-H6-A45N-01A-11D-A26I-08	0.00E+00	3.88E-01	5.48E-01	5.26E-01
