Samples	SBS96A	SBS96B	SBS96C
TCGA-FZ-5926-01A-11D-1609-08	1.70E-01	5.88E-01	5.94E-01
TCGA-H6-8124-01A-11D-2396-08	4.92E-01	6.92E-01	6.58E-01
TCGA-H6-A45N-01A-11D-A26I-08	2.00E-02	4.56E-01	4.54E-01
TCGA-H8-A6C1-01A-11D-A32N-08	2.41E-01	4.10E-01	3.63E-01
TCGA-HV-A5A3-01A-11D-A26I-08	5.20E-01	6.81E-01	6.66E-01
TCGA-HV-A5A4-01A-11D-A26I-08	4.99E-01	6.77E-01	5.26E-01
TCGA-HV-A5A5-01A-11D-A26I-08	9.61E-02	3.85E-01	3.97E-01
TCGA-HV-A5A6-01A-11D-A26I-08	5.96E-01	7.65E-01	6.44E-01
TCGA-HV-A7OL-01A-11D-A33T-08	5.06E-01	9.22E-01	8.49E-01
TCGA-HV-A7OP-01A-11D-A33T-08	8.43E-01	1.13E+00	1.04E+00
TCGA-HV-AA8V-01A-11D-A40W-08	3.65E-01	6.51E-01	6.12E-01
TCGA-HV-AA8X-01A-11D-A397-08	7.52E-01	8.53E-01	5.10E-01
TCGA-HZ-7289-01A-11D-2154-08	7.51E-01	1.29E+00	1.23E+00
TCGA-HZ-7918-01A-11D-2154-08	8.05E-01	6.88E-01	9.16E-01
TCGA-HZ-7919-01A-11D-2154-08	1.00E-01	9.06E-01	9.07E-01
TCGA-HZ-7920-01A-11D-2201-08	4.82E-02	2.56E-02	4.98E-02
TCGA-HZ-7922-01A-11D-2154-08	4.72E-01	7.12E-01	5.80E-01
TCGA-HZ-7925-01A-11D-2154-08	5.09E-01	5.11E-01	1.94E-01
TCGA-HZ-7926-01A-11D-2154-08	5.72E-01	7.09E-01	5.70E-01
TCGA-HZ-8001-01A-11D-2201-08	9.08E-01	7.00E-01	8.81E-01
TCGA-HZ-8002-01A-11D-2201-08	2.81E-01	3.15E-01	2.00E-01
TCGA-HZ-8003-01A-21D-2201-08	2.48E-01	4.15E-01	3.76E-01
TCGA-HZ-8005-01A-11D-2201-08	3.98E-01	8.91E-01	8.53E-01
TCGA-HZ-8315-01A-11D-2396-08	3.65E-01	8.99E-01	8.88E-01
TCGA-HZ-8317-01A-11D-2396-08	0.00E+00	2.99E-01	2.98E-01
TCGA-HZ-8636-01A-21D-2396-08	0.00E+00	6.14E-01	6.14E-01
TCGA-HZ-8637-01A-11D-2396-08	3.00E-02	5.77E-01	5.81E-01
TCGA-HZ-A49H-01A-11D-A26I-08	1.40E-01	1.85E-01	1.21E-01
TCGA-HZ-A49I-01A-12D-A26I-08	4.11E-01	7.73E-01	8.26E-01
TCGA-HZ-A4BH-01A-11D-A26I-08	4.27E-01	1.01E+00	9.84E-01
TCGA-HZ-A4BK-01A-11D-A26I-08	6.35E-01	7.48E-01	6.10E-01
TCGA-HZ-A77O-01A-11D-A33T-08	5.79E-01	5.76E-01	6.29E-01
TCGA-HZ-A77P-01A-11D-A33T-08	4.43E-01	7.76E-01	5.98E-01
TCGA-HZ-A77Q-01A-11D-A36O-08	4.76E-01	8.71E-01	6.80E-01
TCGA-HZ-A8P0-01A-11D-A36O-08	5.96E-01	6.85E-01	5.24E-01
TCGA-HZ-A8P1-01A-11D-A377-08	4.21E-01	8.26E-01	8.33E-01
TCGA-HZ-A9TJ-01A-11D-A40W-08	6.11E-01	1.25E+00	1.13E+00
TCGA-IB-7644-01A-11D-2154-08	2.44E-01	5.69E-01	5.42E-01
TCGA-IB-7645-01A-22D-2201-08	4.92E-01	6.13E-01	4.49E-01
TCGA-IB-7646-01A-11D-2154-08	7.48E-01	8.23E-01	8.15E-01
TCGA-IB-7647-01A-11D-2154-08	0.00E+00	7.29E-01	7.32E-01
TCGA-IB-7649-01A-11D-2154-08	6.19E-01	8.26E-01	6.44E-01
TCGA-IB-7651-01A-11D-2154-08	2.58E+01	2.62E+01	3.18E+00
TCGA-IB-7652-01A-11D-2154-08	6.87E-01	1.07E+00	1.04E+00
TCGA-IB-7654-01A-11D-2154-08	0.00E+00	6.18E-01	6.18E-01
TCGA-IB-7885-01A-11D-2154-08	2.89E-01	6.52E-01	6.28E-01
TCGA-IB-7886-01A-11D-2154-08	3.67E-01	7.79E-01	7.17E-01
TCGA-IB-7887-01A-11D-2154-08	5.15E-01	5.87E-01	5.68E-01
TCGA-IB-7888-01A-11D-2154-08	4.62E-01	6.07E-01	5.10E-01
TCGA-IB-7889-01A-11D-2154-08	5.97E-01	8.25E-01	6.78E-01
TCGA-IB-7890-01A-12D-2201-08	6.92E-01	1.14E+00	8.95E-01
TCGA-IB-7891-01A-11D-2201-08	2.79E-01	5.07E-01	5.05E-01
TCGA-IB-7893-01A-11D-2201-08	4.20E-01	5.63E-01	5.13E-01
TCGA-IB-7897-01A-21D-2201-08	2.00E-02	9.13E-02	8.84E-02
TCGA-IB-8126-01A-11D-2396-08	2.75E-01	2.38E-01	2.56E-01
TCGA-IB-8127-01A-11D-2396-08	5.29E-01	5.21E-01	6.18E-02
TCGA-IB-A5SO-01A-11D-A32N-08	0.00E+00	6.18E-01	6.18E-01
TCGA-IB-A5SP-01A-11D-A32N-08	5.80E-01	7.55E-01	7.68E-01
TCGA-IB-A5SQ-01A-11D-A32N-08	6.85E-01	7.34E-01	4.43E-01
TCGA-IB-A5SS-01A-11D-A32N-08	4.33E-01	6.30E-01	5.99E-01
TCGA-IB-A5ST-01A-11D-A32N-08	7.00E-02	2.18E-01	2.13E-01
TCGA-IB-A6UF-01A-23D-A33T-08	1.95E-01	7.55E-01	7.33E-01
TCGA-IB-A6UG-01A-32D-A33T-08	5.45E-01	7.27E-01	4.55E-01
TCGA-IB-A7LX-01A-12D-A36O-08	5.44E-01	7.14E-01	6.47E-01
TCGA-IB-A7M4-01A-11D-A36O-08	4.66E-01	9.69E-01	9.12E-01
TCGA-IB-AAUM-01A-11D-A377-08	1.49E-01	4.28E-01	4.13E-01
TCGA-IB-AAUN-01A-12D-A38G-08	4.92E-01	6.41E-01	5.71E-01
TCGA-IB-AAUO-01A-12D-A38G-08	6.02E-01	7.01E-01	5.24E-01
TCGA-IB-AAUP-01A-11D-A377-08	2.83E-01	4.63E-01	4.32E-01
TCGA-IB-AAUQ-01A-22D-A40W-08	4.60E-01	8.03E-01	7.47E-01
TCGA-IB-AAUR-01A-21D-A38G-08	1.12E-01	6.47E-02	1.04E-01
TCGA-IB-AAUS-01A-12D-A38G-08	0.00E+00	4.96E-02	4.96E-02
TCGA-IB-AAUT-01A-11D-A377-08	5.02E-02	1.41E-02	5.00E-02
TCGA-IB-AAUU-01A-11D-A377-08	5.13E-01	5.97E-01	4.93E-01
TCGA-IB-AAUW-01A-12D-A38G-08	0.00E+00	3.27E-02	3.27E-02
TCGA-LB-A7SX-01A-11D-A33T-08	8.74E-01	1.63E+00	1.74E+00
TCGA-LB-A8F3-01A-11D-A36O-08	1.67E-01	6.89E-01	6.61E-01
TCGA-LB-A9Q5-01A-11D-A397-08	4.11E-01	4.26E-01	3.78E-01
TCGA-M8-A5N4-01A-11D-A26I-08	3.13E-01	5.73E-01	4.79E-01
TCGA-OE-A75W-01A-12D-A32N-08	9.41E-01	1.23E+00	1.06E+00
TCGA-PZ-A5RE-01A-11D-A32N-08	3.22E-01	4.71E-01	3.85E-01
TCGA-Q3-A5QY-01A-12D-A32N-08	2.81E-02	7.44E-02	7.06E-02
TCGA-Q3-AA2A-01A-11D-A377-08	4.33E-01	4.65E-01	3.69E-01
TCGA-RB-A7B8-01A-12D-A33T-08	4.98E-01	6.71E-01	5.11E-01
TCGA-RB-AA9M-01A-11D-A397-08	4.25E-01	4.93E-01	3.47E-01
TCGA-S4-A8RM-01A-11D-A377-08	4.03E-01	6.25E-01	5.72E-01
TCGA-S4-A8RO-01A-12D-A377-08	5.70E-01	8.04E-01	5.87E-01
TCGA-S4-A8RP-01A-11D-A36O-08	3.58E-01	8.95E-01	8.20E-01
TCGA-US-A774-01A-21D-A32N-08	5.33E-01	6.31E-01	3.71E-01
TCGA-US-A776-01A-13D-A33T-08	6.67E-01	1.03E+00	1.01E+00
TCGA-US-A779-01A-11D-A32N-08	4.15E-01	6.03E-01	5.41E-01
TCGA-US-A77E-01A-11D-A32N-08	3.69E-01	1.17E+00	1.17E+00
TCGA-US-A77G-01A-11D-A32N-08	7.45E-01	7.28E-01	6.56E-01
TCGA-XD-AAUG-01A-61D-A40W-08	3.31E-01	4.17E-01	4.13E-01
TCGA-XD-AAUH-01A-42D-A40W-08	3.39E-01	2.90E-01	3.56E-01
TCGA-XD-AAUI-01A-42D-A40W-08	4.99E-01	6.82E-01	4.96E-01
TCGA-XD-AAUL-01A-21D-A397-08	4.06E-01	7.45E-01	6.92E-01
TCGA-XN-A8T3-01A-11D-A36O-08	6.37E-01	6.99E-01	5.12E-01
TCGA-XN-A8T5-01A-12D-A36O-08	1.48E-01	4.11E-01	4.11E-01
TCGA-YB-A89D-01A-12D-A36O-08	4.38E-01	4.90E-01	4.63E-01
TCGA-YH-A8SY-01A-11D-A377-08	5.07E-01	1.07E+00	8.77E-01
TCGA-YY-A8LH-01A-11D-A36O-08	6.28E-01	8.62E-01	8.34E-01
TCGA-Z5-AAPL-01A-12D-A40W-08	1.14E-01	2.41E-01	2.58E-01
