Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-HZ-8315-01A-11D-2396-08	0	0	16	28	17
TCGA-HZ-8317-01A-11D-2396-08	0	0	5	0	8
TCGA-HZ-8636-01A-21D-2396-08	0	0	26	10	10
TCGA-HZ-8637-01A-11D-2396-08	0	0	18	12	1
TCGA-HZ-A49H-01A-11D-A26I-08	0	0	2	8	0
TCGA-HZ-A49I-01A-12D-A26I-08	2	0	30	0	13
TCGA-HZ-A4BH-01A-11D-A26I-08	0	0	19	45	0
TCGA-HZ-A4BK-01A-11D-A26I-08	4	7	20	10	11
TCGA-HZ-A77O-01A-11D-A33T-08	1	13	2	11	0
TCGA-HZ-A77P-01A-11D-A33T-08	0	33	10	0	0
TCGA-HZ-A77Q-01A-11D-A36O-08	3	0	34	12	2
TCGA-HZ-A8P0-01A-11D-A36O-08	14	0	14	11	0
TCGA-HZ-A8P1-01A-11D-A377-08	0	0	14	31	12
TCGA-HZ-A9TJ-01A-11D-A40W-08	0	0	39	39	9
TCGA-IB-7644-01A-11D-2154-08	0	4	8	1	17
TCGA-IB-7645-01A-22D-2201-08	0	0	13	15	1
TCGA-IB-7646-01A-11D-2154-08	2	0	37	9	13
TCGA-IB-7647-01A-11D-2154-08	7	0	25	4	13
TCGA-IB-7649-01A-11D-2154-08	16	0	7	14	0
TCGA-IB-7651-01A-11D-2154-08	15601	1369	119	292	0
TCGA-IB-7652-01A-11D-2154-08	27	0	19	31	11
TCGA-IB-7654-01A-11D-2154-08	0	0	32	0	7
TCGA-IB-7885-01A-11D-2154-08	0	7	11	22	4
TCGA-IB-7886-01A-11D-2154-08	7	0	37	0	5
TCGA-IB-7887-01A-11D-2154-08	0	12	4	4	6
TCGA-IB-7888-01A-11D-2154-08	0	12	8	0	7
TCGA-IB-7889-01A-11D-2154-08	0	0	17	27	0
TCGA-IB-7890-01A-12D-2201-08	6	45	14	0	0
TCGA-IB-7891-01A-11D-2201-08	0	16	10	0	0
TCGA-IB-7893-01A-11D-2201-08	8	0	18	9	2
TCGA-IB-7897-01A-21D-2201-08	0	0	3	0	0
TCGA-IB-8126-01A-11D-2396-08	4	7	0	0	1
TCGA-IB-8127-01A-11D-2396-08	1	0	40	0	0
TCGA-IB-A5SO-01A-11D-A32N-08	0	8	9	0	9
TCGA-IB-A5SP-01A-11D-A32N-08	0	0	18	18	7
TCGA-IB-A5SQ-01A-11D-A32N-08	12	2	17	0	4
TCGA-IB-A5SS-01A-11D-A32N-08	4	0	18	7	6
TCGA-IB-A5ST-01A-11D-A32N-08	0	0	2	5	0
TCGA-IB-A6UF-01A-23D-A33T-08	0	0	27	24	0
TCGA-IB-A6UG-01A-32D-A33T-08	14	0	53	0	0
TCGA-IB-A7LX-01A-12D-A36O-08	7	10	0	12	7
TCGA-IB-A7M4-01A-11D-A36O-08	0	0	36	5	13
TCGA-IB-AAUM-01A-11D-A377-08	0	3	4	2	6
TCGA-IB-AAUN-01A-12D-A38G-08	0	23	3	0	0
TCGA-IB-AAUO-01A-12D-A38G-08	8	21	11	0	3
TCGA-IB-AAUP-01A-11D-A377-08	0	0	26	0	7
TCGA-IB-AAUQ-01A-22D-A40W-08	8	5	30	0	17
TCGA-IB-AAUR-01A-21D-A38G-08	4	0	0	0	0
TCGA-IB-AAUS-01A-12D-A38G-08	0	0	0	1	0
TCGA-IB-AAUT-01A-11D-A377-08	0	0	0	0	1
TCGA-IB-AAUU-01A-11D-A377-08	12	0	20	1	8
TCGA-IB-AAUW-01A-12D-A38G-08	0	0	0	0	1
TCGA-LB-A7SX-01A-11D-A33T-08	0	0	0	78	30
TCGA-LB-A8F3-01A-11D-A36O-08	1	3	0	21	11
TCGA-LB-A9Q5-01A-11D-A397-08	3	0	1	9	1
TCGA-M8-A5N4-01A-11D-A26I-08	0	18	14	1	0
TCGA-OE-A75W-01A-12D-A32N-08	31	19	14	10	12
TCGA-PZ-A5RE-01A-11D-A32N-08	0	0	17	0	8
TCGA-Q3-A5QY-01A-12D-A32N-08	1	0	1	0	0
TCGA-Q3-AA2A-01A-11D-A377-08	10	0	7	0	6
TCGA-RB-A7B8-01A-12D-A33T-08	6	8	34	0	0
TCGA-RB-AA9M-01A-11D-A397-08	0	0	6	17	0
TCGA-S4-A8RM-01A-11D-A377-08	8	0	28	0	7
TCGA-S4-A8RO-01A-12D-A377-08	9	1	51	0	0
TCGA-S4-A8RP-01A-11D-A36O-08	5	0	0	24	0
TCGA-US-A774-01A-21D-A32N-08	1	10	4	6	0
TCGA-US-A776-01A-13D-A33T-08	26	0	41	0	19
TCGA-US-A779-01A-11D-A32N-08	3	24	0	0	0
TCGA-US-A77E-01A-11D-A32N-08	0	0	41	34	0
TCGA-US-A77G-01A-11D-A32N-08	13	8	8	0	3
TCGA-XD-AAUG-01A-61D-A40W-08	0	1	0	15	0
TCGA-XD-AAUH-01A-42D-A40W-08	4	7	0	0	2
TCGA-XD-AAUI-01A-42D-A40W-08	3	0	9	19	0
TCGA-XD-AAUL-01A-21D-A397-08	11	8	12	0	4
TCGA-XN-A8T3-01A-11D-A36O-08	0	37	5	0	0
TCGA-XN-A8T5-01A-12D-A36O-08	0	0	3	8	3
TCGA-YB-A89D-01A-12D-A36O-08	0	0	8	14	5
TCGA-YH-A8SY-01A-11D-A377-08	14	3	23	16	0
TCGA-YY-A8LH-01A-11D-A36O-08	7	51	0	1	6
TCGA-Z5-AAPL-01A-12D-A40W-08	0	6	2	0	0
