Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-H6-8124-01A-11D-2396-08	0	2	1	3	17	0	12	0	0	0
TCGA-H6-A45N-01A-11D-A26I-08	0	0	0	0	0	3	0	12	4	5
TCGA-H8-A6C1-01A-11D-A32N-08	0	0	13	2	10	0	0	0	0	0
TCGA-HV-A5A3-01A-11D-A26I-08	6	0	8	0	14	0	0	4	6	0
TCGA-HV-A5A4-01A-11D-A26I-08	4	0	12	0	7	11	5	0	0	0
TCGA-HV-A5A5-01A-11D-A26I-08	0	0	4	0	0	1	3	4	3	3
TCGA-HV-A5A6-01A-11D-A26I-08	0	0	12	0	12	0	22	0	0	0
TCGA-HV-A7OL-01A-11D-A33T-08	0	5	0	16	7	17	6	0	0	0
TCGA-HV-A7OP-01A-11D-A33T-08	6	0	0	0	8	8	14	49	12	0
TCGA-HV-AA8V-01A-11D-A40W-08	0	0	0	5	2	19	3	5	0	0
TCGA-HV-AA8X-01A-11D-A397-08	5	14	20	8	2	0	0	0	0	1
TCGA-HZ-7289-01A-11D-2154-08	0	30	4	0	0	27	8	11	0	0
TCGA-HZ-7918-01A-11D-2154-08	12	5	0	0	0	0	0	14	27	67
TCGA-HZ-7919-01A-11D-2154-08	0	0	4	0	7	0	0	11	0	38
TCGA-HZ-7920-01A-11D-2201-08	0	0	0	0	0	0	0	1	0	0
TCGA-HZ-7922-01A-11D-2154-08	5	0	4	0	13	13	0	0	10	0
TCGA-HZ-7925-01A-11D-2154-08	1	3	8	0	0	6	8	0	0	0
TCGA-HZ-7926-01A-11D-2154-08	7	1	2	0	0	12	6	7	0	2
TCGA-HZ-8001-01A-11D-2201-08	0	10	0	4	7	8	14	4	0	0
TCGA-HZ-8002-01A-11D-2201-08	0	2	5	0	0	1	0	0	1	0
TCGA-HZ-8003-01A-21D-2201-08	0	0	4	1	0	0	1	3	0	4
TCGA-HZ-8005-01A-11D-2201-08	0	10	3	0	10	9	16	0	0	7
TCGA-HZ-8315-01A-11D-2396-08	0	6	0	14	13	5	0	13	0	10
TCGA-HZ-8317-01A-11D-2396-08	0	0	0	0	0	7	0	2	0	4
TCGA-HZ-8636-01A-21D-2396-08	0	0	0	9	19	8	0	0	0	10
TCGA-HZ-8637-01A-11D-2396-08	0	1	0	5	12	6	3	3	0	1
TCGA-HZ-A49H-01A-11D-A26I-08	0	4	0	2	1	1	2	0	0	0
TCGA-HZ-A49I-01A-12D-A26I-08	0	0	5	0	0	26	0	0	13	1
TCGA-HZ-A4BH-01A-11D-A26I-08	0	2	0	25	11	14	0	12	0	0
TCGA-HZ-A4BK-01A-11D-A26I-08	4	0	5	7	17	3	7	0	0	9
TCGA-HZ-A77O-01A-11D-A33T-08	0	6	0	2	3	3	13	0	0	0
TCGA-HZ-A77P-01A-11D-A33T-08	0	7	0	0	31	0	0	0	2	3
TCGA-HZ-A77Q-01A-11D-A36O-08	2	9	0	1	8	24	4	0	0	3
TCGA-HZ-A8P0-01A-11D-A36O-08	6	6	0	1	0	15	9	0	2	0
TCGA-HZ-A8P1-01A-11D-A377-08	0	0	0	16	18	0	3	2	9	9
TCGA-HZ-A9TJ-01A-11D-A40W-08	0	2	0	21	22	26	0	15	0	1
TCGA-IB-7644-01A-11D-2154-08	1	0	2	3	7	2	0	1	6	8
TCGA-IB-7645-01A-22D-2201-08	0	10	0	3	0	14	0	2	0	0
TCGA-IB-7646-01A-11D-2154-08	0	1	3	0	6	27	15	4	2	3
TCGA-IB-7647-01A-11D-2154-08	0	0	28	8	0	4	0	7	0	2
TCGA-IB-7649-01A-11D-2154-08	1	1	0	0	0	5	30	0	0	0
TCGA-IB-7651-01A-11D-2154-08	11797	2903	1782	843	0	0	0	0	56	0
TCGA-IB-7652-01A-11D-2154-08	10	3	0	7	0	19	41	0	0	8
TCGA-IB-7654-01A-11D-2154-08	0	0	0	0	24	9	0	6	0	0
TCGA-IB-7885-01A-11D-2154-08	0	7	0	8	15	0	0	1	10	3
TCGA-IB-7886-01A-11D-2154-08	0	3	13	0	2	26	1	0	4	0
TCGA-IB-7887-01A-11D-2154-08	0	5	0	4	11	0	0	0	0	6
TCGA-IB-7888-01A-11D-2154-08	0	7	0	0	2	10	0	8	0	0
TCGA-IB-7889-01A-11D-2154-08	0	5	3	13	17	0	0	0	6	0
TCGA-IB-7890-01A-12D-2201-08	0	17	26	0	16	0	0	3	0	3
TCGA-IB-7891-01A-11D-2201-08	0	0	1	0	22	0	0	3	0	0
TCGA-IB-7893-01A-11D-2201-08	0	6	13	1	0	7	6	4	0	0
TCGA-IB-7897-01A-21D-2201-08	0	0	0	0	3	0	0	0	0	0
TCGA-IB-8126-01A-11D-2396-08	2	0	0	0	2	0	0	0	8	0
TCGA-IB-8127-01A-11D-2396-08	2	0	4	1	11	23	0	0	0	0
TCGA-IB-A5SO-01A-11D-A32N-08	0	0	6	0	6	0	0	14	0	0
TCGA-IB-A5SP-01A-11D-A32N-08	0	0	0	8	19	0	0	0	11	5
TCGA-IB-A5SQ-01A-11D-A32N-08	6	2	11	0	12	0	0	2	0	2
TCGA-IB-A5SS-01A-11D-A32N-08	6	0	0	7	5	15	0	0	0	2
TCGA-IB-A5ST-01A-11D-A32N-08	0	0	0	2	0	1	4	0	0	0
TCGA-IB-A6UF-01A-23D-A33T-08	0	1	0	10	19	10	10	0	0	1
TCGA-IB-A6UG-01A-32D-A33T-08	6	2	22	0	10	27	0	0	0	0
TCGA-IB-A7LX-01A-12D-A36O-08	2	0	7	4	0	0	8	13	0	2
TCGA-IB-A7M4-01A-11D-A36O-08	0	4	0	6	5	33	0	0	0	6
TCGA-IB-AAUM-01A-11D-A377-08	0	0	0	0	5	0	0	10	0	0
TCGA-IB-AAUN-01A-12D-A38G-08	0	4	6	0	5	5	0	0	5	1
TCGA-IB-AAUO-01A-12D-A38G-08	9	5	0	1	11	11	0	1	3	2
TCGA-IB-AAUP-01A-11D-A377-08	0	0	0	0	0	29	0	0	0	4
TCGA-IB-AAUQ-01A-22D-A40W-08	0	0	26	0	14	0	6	5	0	9
TCGA-IB-AAUR-01A-21D-A38G-08	4	0	0	0	0	0	0	0	0	0
TCGA-IB-AAUS-01A-12D-A38G-08	0	0	0	0	0	0	1	0	0	0
TCGA-IB-AAUT-01A-11D-A377-08	0	0	0	0	0	0	0	0	1	0
TCGA-IB-AAUU-01A-11D-A377-08	6	2	13	2	11	0	0	4	0	3
TCGA-IB-AAUW-01A-12D-A38G-08	0	0	0	0	0	0	0	0	1	0
TCGA-LB-A7SX-01A-11D-A33T-08	1	0	1	43	4	0	0	50	0	9
TCGA-LB-A8F3-01A-11D-A36O-08	0	2	0	3	0	0	13	12	6	0
TCGA-LB-A9Q5-01A-11D-A397-08	0	3	0	1	0	1	7	1	0	1
TCGA-M8-A5N4-01A-11D-A26I-08	0	6	2	0	19	0	0	6	0	0
TCGA-OE-A75W-01A-12D-A32N-08	6	0	35	4	0	0	22	18	0	1
TCGA-PZ-A5RE-01A-11D-A32N-08	0	1	0	0	6	12	0	6	0	0
TCGA-Q3-A5QY-01A-12D-A32N-08	0	0	1	0	0	0	1	0	0	0
TCGA-Q3-AA2A-01A-11D-A377-08	8	0	1	1	0	8	1	0	0	4
TCGA-RB-A7B8-01A-12D-A33T-08	0	2	19	0	11	13	0	0	3	0
TCGA-RB-AA9M-01A-11D-A397-08	0	13	0	5	4	1	0	0	0	0
TCGA-S4-A8RM-01A-11D-A377-08	5	0	12	0	0	20	0	6	0	0
TCGA-S4-A8RO-01A-12D-A377-08	3	13	5	0	23	17	0	0	0	0
TCGA-S4-A8RP-01A-11D-A36O-08	0	4	0	1	0	0	18	0	6	0
TCGA-US-A774-01A-21D-A32N-08	0	5	0	0	0	9	5	2	0	0
TCGA-US-A776-01A-13D-A33T-08	17	0	28	0	4	20	0	12	1	4
TCGA-US-A779-01A-11D-A32N-08	0	11	8	0	0	3	2	0	0	3
TCGA-US-A77E-01A-11D-A32N-08	0	5	10	8	28	6	11	7	0	0
TCGA-US-A77G-01A-11D-A32N-08	1	0	21	0	0	0	3	3	4	0
TCGA-XD-AAUG-01A-61D-A40W-08	0	2	0	4	1	1	0	3	5	0
TCGA-XD-AAUH-01A-42D-A40W-08	2	0	0	0	2	2	0	0	7	0
TCGA-XD-AAUI-01A-42D-A40W-08	1	1	5	12	3	4	5	0	0	0
TCGA-XD-AAUL-01A-21D-A397-08	0	0	22	0	0	0	10	0	0	3
TCGA-XN-A8T3-01A-11D-A36O-08	4	6	3	0	24	0	0	2	3	0
TCGA-XN-A8T5-01A-12D-A36O-08	0	0	1	6	0	3	0	1	3	0
TCGA-YB-A89D-01A-12D-A36O-08	0	0	0	9	9	2	0	0	3	4
TCGA-YH-A8SY-01A-11D-A377-08	0	11	19	2	2	6	13	3	0	0
TCGA-YY-A8LH-01A-11D-A36O-08	1	7	13	1	11	0	14	8	6	4
TCGA-Z5-AAPL-01A-12D-A40W-08	0	0	1	0	6	0	0	0	1	0
