Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-IB-AAUR-01A-21D-A38G-08	1.60E-01	1.14E-01	5.37E-02	1.06E-01	1.71E-02	7.33E-02	9.75E-02	6.42E-02	1.29E-01	5.03E-02
TCGA-IB-AAUS-01A-12D-A38G-08	0.00E+00	2.88E-02	3.02E-02	4.35E-02	1.71E-02	2.73E-02	3.86E-02	3.94E-02	2.56E-02	1.00E-02
TCGA-IB-AAUT-01A-11D-A377-08	1.00E-02	3.49E-02	2.19E-02	1.97E-02	2.88E-02	3.02E-02	2.39E-02	1.71E-02	4.73E-02	3.59E-02
TCGA-IB-AAUU-01A-11D-A377-08	3.99E-01	3.46E-01	7.99E-01	4.22E-01	7.87E-01	7.62E-01	4.55E-01	3.37E-01	2.07E-01	3.32E-01
TCGA-IB-AAUW-01A-12D-A38G-08	0.00E+00	2.39E-02	2.19E-02	2.73E-02	1.97E-02	2.56E-02	4.23E-02	3.59E-02	4.29E-02	2.73E-02
TCGA-LB-A7SX-01A-11D-A33T-08	5.36E-01	1.16E+00	8.56E-01	2.02E+00	1.04E+00	6.90E-01	1.17E+00	1.97E+00	8.01E-01	1.38E+00
TCGA-LB-A8F3-01A-11D-A36O-08	1.10E-01	4.34E-01	5.21E-01	5.63E-01	3.30E-01	2.72E-01	7.80E-01	7.55E-01	6.29E-01	6.14E-01
TCGA-LB-A9Q5-01A-11D-A397-08	2.13E-01	2.47E-01	2.41E-01	3.04E-01	1.55E-01	2.21E-01	3.10E-01	2.34E-01	1.92E-01	2.02E-01
TCGA-M8-A5N4-01A-11D-A26I-08	1.65E-01	3.72E-01	6.20E-01	4.38E-01	8.24E-01	7.33E-01	3.54E-01	3.24E-01	1.49E-01	1.92E-01
TCGA-OE-A75W-01A-12D-A32N-08	8.54E-01	5.81E-01	1.48E+00	8.44E-01	9.06E-01	9.31E-01	1.55E+00	1.06E+00	5.26E-01	5.17E-01
TCGA-PZ-A5RE-01A-11D-A32N-08	2.09E-01	2.19E-01	4.02E-01	2.53E-01	5.12E-01	5.19E-01	2.66E-01	3.08E-01	2.67E-01	2.31E-01
TCGA-Q3-A5QY-01A-12D-A32N-08	0.00E+00	3.39E-02	8.94E-02	4.79E-02	5.45E-02	5.96E-02	8.21E-02	2.23E-02	2.78E-02	2.43E-02
TCGA-Q3-AA2A-01A-11D-A377-08	3.75E-01	2.35E-01	3.54E-01	2.52E-01	2.99E-01	3.33E-01	2.70E-01	2.32E-01	2.29E-01	2.75E-01
TCGA-RB-A7B8-01A-12D-A33T-08	3.38E-01	4.74E-01	1.04E+00	3.08E-01	8.25E-01	9.77E-01	6.14E-01	2.94E-01	5.49E-01	2.14E-01
TCGA-RB-AA9M-01A-11D-A397-08	1.98E-01	5.49E-01	3.27E-01	3.53E-01	5.00E-01	4.39E-01	2.20E-01	2.19E-01	2.82E-01	1.50E-01
TCGA-S4-A8RM-01A-11D-A377-08	3.59E-01	2.57E-01	7.77E-01	3.17E-01	7.03E-01	8.19E-01	5.40E-01	4.21E-01	4.59E-01	3.25E-01
TCGA-S4-A8RO-01A-12D-A377-08	5.50E-01	7.91E-01	1.14E+00	3.40E-01	1.57E+00	1.28E+00	5.07E-01	2.84E-01	3.07E-01	2.64E-01
TCGA-S4-A8RP-01A-11D-A36O-08	1.87E-01	5.69E-01	3.78E-01	5.33E-01	2.36E-01	3.54E-01	7.29E-01	3.72E-01	4.94E-01	2.04E-01
TCGA-US-A774-01A-21D-A32N-08	2.22E-01	4.55E-01	4.56E-01	3.25E-01	3.35E-01	5.08E-01	4.16E-01	1.95E-01	3.12E-01	1.85E-01
TCGA-US-A776-01A-13D-A33T-08	8.07E-01	4.33E-01	1.01E+00	4.92E-01	1.15E+00	1.10E+00	6.28E-01	7.61E-01	6.58E-01	5.77E-01
TCGA-US-A779-01A-11D-A32N-08	1.83E-01	4.08E-01	4.64E-01	3.35E-01	4.64E-01	4.04E-01	5.10E-01	3.25E-01	3.18E-01	3.13E-01
TCGA-US-A77E-01A-11D-A32N-08	9.85E-02	8.49E-01	1.26E+00	9.12E-01	1.29E+00	1.33E+00	8.93E-01	8.09E-01	5.93E-01	3.16E-01
TCGA-US-A77G-01A-11D-A32N-08	3.62E-01	4.46E-01	6.61E-01	4.28E-01	4.95E-01	4.91E-01	4.66E-01	5.77E-01	4.47E-01	3.05E-01
TCGA-XD-AAUG-01A-61D-A40W-08	1.73E-01	2.97E-01	1.47E-01	3.64E-01	2.37E-01	2.82E-01	2.87E-01	3.30E-01	3.33E-01	1.24E-01
TCGA-XD-AAUH-01A-42D-A40W-08	2.77E-01	2.66E-01	2.30E-01	1.91E-01	1.64E-01	2.01E-01	2.02E-01	2.98E-01	2.91E-01	1.69E-01
TCGA-XD-AAUI-01A-42D-A40W-08	3.13E-01	3.82E-01	5.98E-01	5.69E-01	6.31E-01	4.96E-01	5.47E-01	4.00E-01	1.65E-01	1.76E-01
TCGA-XD-AAUL-01A-21D-A397-08	2.21E-01	3.34E-01	7.21E-01	3.71E-01	6.09E-01	6.12E-01	6.16E-01	4.94E-01	3.49E-01	4.55E-01
TCGA-XN-A8T3-01A-11D-A36O-08	3.85E-01	5.20E-01	7.59E-01	3.17E-01	8.24E-01	4.84E-01	4.31E-01	4.39E-01	3.67E-01	1.94E-01
TCGA-XN-A8T5-01A-12D-A36O-08	3.71E-02	1.77E-01	1.91E-01	3.02E-01	2.02E-01	2.71E-01	2.86E-01	2.55E-01	2.41E-01	1.73E-01
TCGA-YB-A89D-01A-12D-A36O-08	3.16E-01	3.68E-01	3.16E-01	5.14E-01	5.30E-01	3.48E-01	2.83E-01	3.71E-01	3.30E-01	2.67E-01
TCGA-YH-A8SY-01A-11D-A377-08	4.00E-01	6.49E-01	1.08E+00	5.13E-01	1.12E+00	9.40E-01	8.44E-01	6.40E-01	4.82E-01	2.83E-01
TCGA-YY-A8LH-01A-11D-A36O-08	3.33E-01	5.99E-01	8.37E-01	6.15E-01	7.91E-01	6.73E-01	7.52E-01	5.89E-01	5.34E-01	5.18E-01
TCGA-Z5-AAPL-01A-12D-A40W-08	1.00E-02	9.33E-02	1.70E-01	1.13E-01	2.22E-01	1.60E-01	1.62E-01	1.62E-01	1.74E-01	1.37E-01
