Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-3A-A9I5-01A-11D-A38G-08	3.62E-01	2.27E-01	5.12E-01	2.38E-01	4.77E-01	4.56E-01	4.36E-01	2.56E-01	3.48E-01	1.85E-01
TCGA-3A-A9I7-01A-21D-A38G-08	2.01E-01	2.26E-01	2.77E-01	1.71E-01	1.79E-01	2.86E-01	2.72E-01	2.06E-01	1.83E-01	1.40E-01
TCGA-3A-A9I9-01A-11D-A38G-08	3.19E-01	6.94E-01	9.52E-01	9.71E-01	8.75E-01	9.58E-01	1.12E+00	1.17E+00	1.08E+00	1.57E+00
TCGA-3A-A9IB-01A-21D-A397-08	2.56E-01	5.00E-01	6.22E-01	4.33E-01	5.39E-01	4.22E-01	4.51E-01	4.11E-01	2.88E-01	5.56E-01
TCGA-3A-A9IC-01A-11D-A38G-08	2.02E-01	3.38E-01	3.89E-01	7.94E-01	3.95E-01	6.13E-01	6.93E-01	4.12E-01	4.75E-01	4.78E-01
TCGA-3A-A9IH-01A-12D-A397-08	3.28E-01	4.63E-01	9.49E-01	2.45E-01	9.20E-01	9.09E-01	5.51E-01	5.47E-01	5.18E-01	4.44E-01
TCGA-3A-A9IJ-01A-11D-A397-08	2.15E-01	3.27E-01	2.02E-01	3.17E-01	2.31E-01	2.17E-01	4.37E-01	3.49E-01	3.85E-01	1.83E-01
TCGA-3A-A9IL-01A-11D-A38G-08	0.00E+00	9.02E-02	6.20E-02	1.20E-01	9.59E-02	6.79E-02	1.24E-01	1.71E-01	1.77E-01	1.21E-01
TCGA-3A-A9IN-01A-11D-A397-08	1.21E-01	3.89E-01	4.33E-01	2.40E-01	3.62E-01	5.08E-01	2.96E-01	3.52E-01	4.61E-01	5.20E-01
TCGA-3A-A9IO-01A-11D-A38G-08	1.40E-01	1.81E-01	1.14E-01	2.89E-01	1.18E-01	7.87E-02	1.47E-01	2.33E-01	1.46E-01	8.24E-02
