Samples	SBS96A
TCGA-HZ-8002-01A-11D-2201-08	0.00E+00
TCGA-HZ-8003-01A-21D-2201-08	0.00E+00
TCGA-HZ-8005-01A-11D-2201-08	0.00E+00
TCGA-HZ-8315-01A-11D-2396-08	0.00E+00
TCGA-HZ-8317-01A-11D-2396-08	0.00E+00
TCGA-HZ-8636-01A-21D-2396-08	0.00E+00
TCGA-HZ-8637-01A-11D-2396-08	0.00E+00
TCGA-HZ-A49H-01A-11D-A26I-08	0.00E+00
TCGA-HZ-A49I-01A-12D-A26I-08	0.00E+00
TCGA-HZ-A4BH-01A-11D-A26I-08	0.00E+00
TCGA-HZ-A4BK-01A-11D-A26I-08	0.00E+00
TCGA-HZ-A77O-01A-11D-A33T-08	0.00E+00
TCGA-HZ-A77P-01A-11D-A33T-08	0.00E+00
TCGA-HZ-A77Q-01A-11D-A36O-08	0.00E+00
TCGA-HZ-A8P0-01A-11D-A36O-08	0.00E+00
TCGA-HZ-A8P1-01A-11D-A377-08	0.00E+00
TCGA-HZ-A9TJ-01A-11D-A40W-08	0.00E+00
TCGA-IB-7644-01A-11D-2154-08	0.00E+00
TCGA-IB-7645-01A-22D-2201-08	0.00E+00
TCGA-IB-7646-01A-11D-2154-08	0.00E+00
TCGA-IB-7647-01A-11D-2154-08	0.00E+00
TCGA-IB-7649-01A-11D-2154-08	0.00E+00
TCGA-IB-7651-01A-11D-2154-08	0.00E+00
TCGA-IB-7652-01A-11D-2154-08	0.00E+00
TCGA-IB-7654-01A-11D-2154-08	0.00E+00
TCGA-IB-7885-01A-11D-2154-08	0.00E+00
TCGA-IB-7886-01A-11D-2154-08	0.00E+00
TCGA-IB-7887-01A-11D-2154-08	0.00E+00
TCGA-IB-7888-01A-11D-2154-08	0.00E+00
TCGA-IB-7889-01A-11D-2154-08	0.00E+00
TCGA-IB-7890-01A-12D-2201-08	0.00E+00
TCGA-IB-7891-01A-11D-2201-08	0.00E+00
TCGA-IB-7893-01A-11D-2201-08	0.00E+00
TCGA-IB-7897-01A-21D-2201-08	0.00E+00
TCGA-IB-8126-01A-11D-2396-08	0.00E+00
TCGA-IB-8127-01A-11D-2396-08	0.00E+00
TCGA-IB-A5SO-01A-11D-A32N-08	0.00E+00
TCGA-IB-A5SP-01A-11D-A32N-08	0.00E+00
TCGA-IB-A5SQ-01A-11D-A32N-08	0.00E+00
TCGA-IB-A5SS-01A-11D-A32N-08	0.00E+00
TCGA-IB-A5ST-01A-11D-A32N-08	0.00E+00
TCGA-IB-A6UF-01A-23D-A33T-08	0.00E+00
TCGA-IB-A6UG-01A-32D-A33T-08	0.00E+00
TCGA-IB-A7LX-01A-12D-A36O-08	0.00E+00
TCGA-IB-A7M4-01A-11D-A36O-08	0.00E+00
TCGA-IB-AAUM-01A-11D-A377-08	0.00E+00
TCGA-IB-AAUN-01A-12D-A38G-08	0.00E+00
TCGA-IB-AAUO-01A-12D-A38G-08	0.00E+00
TCGA-IB-AAUP-01A-11D-A377-08	0.00E+00
TCGA-IB-AAUQ-01A-22D-A40W-08	0.00E+00
TCGA-IB-AAUR-01A-21D-A38G-08	0.00E+00
TCGA-IB-AAUS-01A-12D-A38G-08	0.00E+00
TCGA-IB-AAUT-01A-11D-A377-08	0.00E+00
TCGA-IB-AAUU-01A-11D-A377-08	0.00E+00
TCGA-IB-AAUW-01A-12D-A38G-08	0.00E+00
TCGA-LB-A7SX-01A-11D-A33T-08	0.00E+00
TCGA-LB-A8F3-01A-11D-A36O-08	0.00E+00
TCGA-LB-A9Q5-01A-11D-A397-08	0.00E+00
TCGA-M8-A5N4-01A-11D-A26I-08	0.00E+00
TCGA-OE-A75W-01A-12D-A32N-08	0.00E+00
TCGA-PZ-A5RE-01A-11D-A32N-08	0.00E+00
TCGA-Q3-A5QY-01A-12D-A32N-08	0.00E+00
TCGA-Q3-AA2A-01A-11D-A377-08	0.00E+00
TCGA-RB-A7B8-01A-12D-A33T-08	0.00E+00
TCGA-RB-AA9M-01A-11D-A397-08	0.00E+00
TCGA-S4-A8RM-01A-11D-A377-08	0.00E+00
TCGA-S4-A8RO-01A-12D-A377-08	0.00E+00
TCGA-S4-A8RP-01A-11D-A36O-08	0.00E+00
TCGA-US-A774-01A-21D-A32N-08	0.00E+00
TCGA-US-A776-01A-13D-A33T-08	0.00E+00
TCGA-US-A779-01A-11D-A32N-08	0.00E+00
TCGA-US-A77E-01A-11D-A32N-08	0.00E+00
TCGA-US-A77G-01A-11D-A32N-08	0.00E+00
TCGA-XD-AAUG-01A-61D-A40W-08	0.00E+00
TCGA-XD-AAUH-01A-42D-A40W-08	0.00E+00
TCGA-XD-AAUI-01A-42D-A40W-08	0.00E+00
TCGA-XD-AAUL-01A-21D-A397-08	0.00E+00
TCGA-XN-A8T3-01A-11D-A36O-08	0.00E+00
TCGA-XN-A8T5-01A-12D-A36O-08	0.00E+00
TCGA-YB-A89D-01A-12D-A36O-08	0.00E+00
TCGA-YH-A8SY-01A-11D-A377-08	0.00E+00
TCGA-YY-A8LH-01A-11D-A36O-08	0.00E+00
TCGA-Z5-AAPL-01A-12D-A40W-08	0.00E+00
