Samples	SBS96A	SBS96B
TCGA-IB-7652-01A-11D-2154-08	40	48
TCGA-IB-7654-01A-11D-2154-08	0	39
TCGA-IB-7885-01A-11D-2154-08	0	44
TCGA-IB-7886-01A-11D-2154-08	6	43
TCGA-IB-7887-01A-11D-2154-08	4	22
TCGA-IB-7888-01A-11D-2154-08	2	25
TCGA-IB-7889-01A-11D-2154-08	4	40
TCGA-IB-7890-01A-12D-2201-08	15	50
TCGA-IB-7891-01A-11D-2201-08	0	26
TCGA-IB-7893-01A-11D-2201-08	9	28
TCGA-IB-7897-01A-21D-2201-08	0	3
TCGA-IB-8126-01A-11D-2396-08	9	3
TCGA-IB-8127-01A-11D-2396-08	1	40
TCGA-IB-A5SO-01A-11D-A32N-08	0	26
TCGA-IB-A5SP-01A-11D-A32N-08	0	43
TCGA-IB-A5SQ-01A-11D-A32N-08	13	22
TCGA-IB-A5SS-01A-11D-A32N-08	6	29
TCGA-IB-A5ST-01A-11D-A32N-08	2	5
TCGA-IB-A6UF-01A-23D-A33T-08	0	51
TCGA-IB-A6UG-01A-32D-A33T-08	11	56
TCGA-IB-A7LX-01A-12D-A36O-08	17	19
TCGA-IB-A7M4-01A-11D-A36O-08	0	54
TCGA-IB-AAUM-01A-11D-A377-08	0	15
TCGA-IB-AAUN-01A-12D-A38G-08	4	22
TCGA-IB-AAUO-01A-12D-A38G-08	11	32
TCGA-IB-AAUP-01A-11D-A377-08	0	33
TCGA-IB-AAUQ-01A-22D-A40W-08	8	52
TCGA-IB-AAUR-01A-21D-A38G-08	4	0
TCGA-IB-AAUS-01A-12D-A38G-08	0	1
TCGA-IB-AAUT-01A-11D-A377-08	1	0
TCGA-IB-AAUU-01A-11D-A377-08	11	30
TCGA-IB-AAUW-01A-12D-A38G-08	0	1
TCGA-LB-A7SX-01A-11D-A33T-08	19	89
TCGA-LB-A8F3-01A-11D-A36O-08	13	23
TCGA-LB-A9Q5-01A-11D-A397-08	7	7
TCGA-M8-A5N4-01A-11D-A26I-08	0	33
TCGA-OE-A75W-01A-12D-A32N-08	42	44
TCGA-PZ-A5RE-01A-11D-A32N-08	0	25
TCGA-Q3-A5QY-01A-12D-A32N-08	1	1
TCGA-Q3-AA2A-01A-11D-A377-08	11	12
TCGA-RB-A7B8-01A-12D-A33T-08	6	42
TCGA-RB-AA9M-01A-11D-A397-08	5	18
TCGA-S4-A8RM-01A-11D-A377-08	8	35
TCGA-S4-A8RO-01A-12D-A377-08	8	53
TCGA-S4-A8RP-01A-11D-A36O-08	15	14
TCGA-US-A774-01A-21D-A32N-08	5	16
TCGA-US-A776-01A-13D-A33T-08	27	59
TCGA-US-A779-01A-11D-A32N-08	9	18
TCGA-US-A77E-01A-11D-A32N-08	4	71
TCGA-US-A77G-01A-11D-A32N-08	15	17
TCGA-XD-AAUG-01A-61D-A40W-08	4	12
TCGA-XD-AAUH-01A-42D-A40W-08	7	6
TCGA-XD-AAUI-01A-42D-A40W-08	9	22
TCGA-XD-AAUL-01A-21D-A397-08	12	23
TCGA-XN-A8T3-01A-11D-A36O-08	8	34
TCGA-XN-A8T5-01A-12D-A36O-08	1	13
TCGA-YB-A89D-01A-12D-A36O-08	0	27
TCGA-YH-A8SY-01A-11D-A377-08	17	39
TCGA-YY-A8LH-01A-11D-A36O-08	21	44
TCGA-Z5-AAPL-01A-12D-A40W-08	0	8
