Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-FB-AAQ0-01A-31D-A40W-08	0	0	7	19	4	4	3	5
TCGA-FB-AAQ1-01A-12D-A40W-08	3	0	18	0	16	0	0	0
TCGA-FB-AAQ2-01A-31D-A40W-08	2	0	0	8	23	3	0	0
TCGA-FB-AAQ3-01A-11D-A40W-08	4	6	3	13	0	13	0	0
TCGA-FB-AAQ6-01A-11D-A40W-08	0	0	39	11	0	4	0	7
TCGA-FZ-5919-01A-11D-1609-08	0	10	10	0	4	5	0	0
TCGA-FZ-5920-01A-11D-1609-08	5	0	40	8	2	0	0	0
TCGA-FZ-5921-01A-11D-1609-08	1	18	0	11	29	12	0	0
TCGA-FZ-5922-01A-11D-1609-08	0	0	10	3	9	0	0	17
TCGA-FZ-5923-01A-12D-1609-08	0	4	23	11	11	15	0	0
TCGA-FZ-5924-01A-13D-1609-08	0	8	18	4	8	0	2	0
TCGA-FZ-5926-01A-11D-1609-08	0	0	12	9	0	5	2	0
TCGA-H6-8124-01A-11D-2396-08	0	3	13	15	0	4	0	0
TCGA-H6-A45N-01A-11D-A26I-08	0	0	0	0	4	5	0	15
TCGA-H8-A6C1-01A-11D-A32N-08	0	0	14	11	0	0	0	0
TCGA-HV-A5A3-01A-11D-A26I-08	5	0	12	17	0	0	4	0
TCGA-HV-A5A4-01A-11D-A26I-08	6	0	8	5	19	1	0	0
TCGA-HV-A5A5-01A-11D-A26I-08	0	0	8	0	0	0	5	5
TCGA-HV-A5A6-01A-11D-A26I-08	0	1	35	10	0	0	0	0
TCGA-HV-A7OL-01A-11D-A33T-08	0	16	0	6	15	14	0	0
TCGA-HV-A7OP-01A-11D-A33T-08	1	0	19	4	8	36	12	17
TCGA-HV-AA8V-01A-11D-A40W-08	0	0	0	0	19	10	5	0
TCGA-HV-AA8X-01A-11D-A397-08	7	15	20	6	2	0	0	0
TCGA-HZ-7289-01A-11D-2154-08	4	29	0	0	28	0	14	5
TCGA-HZ-7918-01A-11D-2154-08	18	0	0	0	0	3	22	82
TCGA-HZ-7919-01A-11D-2154-08	0	0	3	10	1	0	0	46
TCGA-HZ-7920-01A-11D-2201-08	0	0	0	0	0	0	1	0
TCGA-HZ-7922-01A-11D-2154-08	6	0	0	13	18	0	7	1
TCGA-HZ-7925-01A-11D-2154-08	1	7	10	0	8	0	0	0
TCGA-HZ-7926-01A-11D-2154-08	7	4	0	0	14	4	0	8
TCGA-HZ-8001-01A-11D-2201-08	0	19	2	4	9	5	8	0
TCGA-HZ-8002-01A-11D-2201-08	2	0	4	0	3	0	0	0
TCGA-HZ-8003-01A-21D-2201-08	0	0	7	0	0	1	0	5
TCGA-HZ-8005-01A-11D-2201-08	0	16	9	6	13	0	3	8
TCGA-HZ-8315-01A-11D-2396-08	0	7	0	18	2	20	0	14
TCGA-HZ-8317-01A-11D-2396-08	0	0	0	0	6	0	0	7
TCGA-HZ-8636-01A-21D-2396-08	0	0	0	24	7	6	0	9
TCGA-HZ-8637-01A-11D-2396-08	0	6	0	13	6	4	0	2
TCGA-HZ-A49H-01A-11D-A26I-08	0	9	0	1	0	0	0	0
TCGA-HZ-A49I-01A-12D-A26I-08	0	0	0	0	25	0	20	0
TCGA-HZ-A4BH-01A-11D-A26I-08	0	6	0	17	9	32	0	0
TCGA-HZ-A4BK-01A-11D-A26I-08	4	2	8	19	3	5	5	6
TCGA-HZ-A77O-01A-11D-A33T-08	0	10	5	0	4	0	8	0
TCGA-HZ-A77P-01A-11D-A33T-08	0	4	0	36	0	0	0	3
TCGA-HZ-A77Q-01A-11D-A36O-08	0	18	0	4	25	0	1	3
TCGA-HZ-A8P0-01A-11D-A36O-08	5	12	0	0	12	0	10	0
TCGA-HZ-A8P1-01A-11D-A377-08	0	9	0	19	0	13	6	10
TCGA-HZ-A9TJ-01A-11D-A40W-08	0	12	0	32	14	21	4	4
TCGA-IB-7644-01A-11D-2154-08	2	0	2	10	1	1	2	12
TCGA-IB-7645-01A-22D-2201-08	0	11	0	6	7	2	3	0
TCGA-IB-7646-01A-11D-2154-08	0	14	0	0	34	0	5	8
TCGA-IB-7647-01A-11D-2154-08	0	0	27	0	12	8	0	2
TCGA-IB-7649-01A-11D-2154-08	2	11	23	0	0	0	1	0
TCGA-IB-7651-01A-11D-2154-08	12252	2622	1462	1045	0	0	0	0
TCGA-IB-7652-01A-11D-2154-08	10	19	16	0	14	2	25	2
TCGA-IB-7654-01A-11D-2154-08	0	0	0	27	9	0	0	3
TCGA-IB-7885-01A-11D-2154-08	0	10	0	17	0	4	11	2
TCGA-IB-7886-01A-11D-2154-08	2	4	0	0	35	0	7	1
TCGA-IB-7887-01A-11D-2154-08	1	5	0	14	0	0	0	6
TCGA-IB-7888-01A-11D-2154-08	1	2	0	11	4	2	3	4
TCGA-IB-7889-01A-11D-2154-08	0	15	2	20	0	7	0	0
TCGA-IB-7890-01A-12D-2201-08	3	4	32	25	0	0	0	1
TCGA-IB-7891-01A-11D-2201-08	0	0	3	22	0	0	0	1
TCGA-IB-7893-01A-11D-2201-08	0	12	15	0	10	0	0	0
TCGA-IB-7897-01A-21D-2201-08	0	0	0	3	0	0	0	0
TCGA-IB-8126-01A-11D-2396-08	4	0	0	3	0	0	5	0
TCGA-IB-8127-01A-11D-2396-08	2	0	0	12	26	1	0	0
TCGA-IB-A5SO-01A-11D-A32N-08	0	0	10	9	0	2	0	5
TCGA-IB-A5SP-01A-11D-A32N-08	0	1	0	23	0	7	8	4
TCGA-IB-A5SQ-01A-11D-A32N-08	8	0	9	14	2	0	0	2
TCGA-IB-A5SS-01A-11D-A32N-08	3	0	0	6	12	4	10	0
TCGA-IB-A5ST-01A-11D-A32N-08	0	6	0	0	1	0	0	0
TCGA-IB-A6UF-01A-23D-A33T-08	0	20	0	15	13	2	0	1
TCGA-IB-A6UG-01A-32D-A33T-08	11	0	2	8	46	0	0	0
TCGA-IB-A7LX-01A-12D-A36O-08	1	0	18	0	0	14	0	3
TCGA-IB-A7M4-01A-11D-A36O-08	0	5	0	7	24	0	15	3
TCGA-IB-AAUM-01A-11D-A377-08	0	0	0	8	0	4	0	3
TCGA-IB-AAUN-01A-12D-A38G-08	0	0	6	8	5	0	7	0
TCGA-IB-AAUO-01A-12D-A38G-08	9	0	0	17	4	0	13	0
TCGA-IB-AAUP-01A-11D-A377-08	0	0	0	0	25	0	3	5
TCGA-IB-AAUQ-01A-22D-A40W-08	0	0	31	14	6	0	0	9
TCGA-IB-AAUR-01A-21D-A38G-08	3	1	0	0	0	0	0	0
TCGA-IB-AAUS-01A-12D-A38G-08	0	0	0	0	0	0	1	0
TCGA-IB-AAUT-01A-11D-A377-08	0	0	0	0	0	0	1	0
TCGA-IB-AAUU-01A-11D-A377-08	6	0	15	13	3	0	0	4
TCGA-IB-AAUW-01A-12D-A38G-08	0	0	0	0	0	0	1	0
TCGA-LB-A7SX-01A-11D-A33T-08	0	0	2	5	0	83	0	18
TCGA-LB-A8F3-01A-11D-A36O-08	0	2	11	0	0	13	5	5
TCGA-LB-A9Q5-01A-11D-A397-08	0	7	4	0	0	1	0	2
TCGA-M8-A5N4-01A-11D-A26I-08	0	3	4	25	0	0	0	1
TCGA-OE-A75W-01A-12D-A32N-08	4	0	66	0	0	16	0	0
TCGA-PZ-A5RE-01A-11D-A32N-08	0	0	0	14	6	0	1	4
TCGA-Q3-A5QY-01A-12D-A32N-08	0	0	2	0	0	0	0	0
TCGA-Q3-AA2A-01A-11D-A377-08	8	0	0	0	8	1	2	4
TCGA-RB-A7B8-01A-12D-A33T-08	3	0	11	11	23	0	0	0
TCGA-RB-AA9M-01A-11D-A397-08	0	19	0	4	0	0	0	0
TCGA-S4-A8RM-01A-11D-A377-08	7	0	3	0	27	0	0	6
TCGA-S4-A8RO-01A-12D-A377-08	8	3	0	32	18	0	0	0
TCGA-S4-A8RP-01A-11D-A36O-08	0	14	6	0	0	0	9	0
TCGA-US-A774-01A-21D-A32N-08	0	9	0	0	8	0	3	1
TCGA-US-A776-01A-13D-A33T-08	21	0	16	4	32	0	2	11
TCGA-US-A779-01A-11D-A32N-08	0	8	8	1	5	0	4	1
TCGA-US-A77E-01A-11D-A32N-08	0	7	21	33	6	8	0	0
TCGA-US-A77G-01A-11D-A32N-08	0	0	32	0	0	0	0	0
TCGA-XD-AAUG-01A-61D-A40W-08	0	9	0	0	0	0	7	0
TCGA-XD-AAUH-01A-42D-A40W-08	1	0	0	3	0	0	9	0
TCGA-XD-AAUI-01A-42D-A40W-08	0	13	3	0	8	7	0	0
TCGA-XD-AAUL-01A-21D-A397-08	0	0	35	0	0	0	0	0
TCGA-XN-A8T3-01A-11D-A36O-08	5	0	8	28	0	0	1	0
TCGA-XN-A8T5-01A-12D-A36O-08	0	0	0	0	3	8	3	0
TCGA-YB-A89D-01A-12D-A36O-08	0	0	0	12	0	10	3	2
TCGA-YH-A8SY-01A-11D-A377-08	0	20	23	0	13	0	0	0
TCGA-YY-A8LH-01A-11D-A36O-08	4	1	30	13	0	9	4	4
TCGA-Z5-AAPL-01A-12D-A40W-08	0	0	2	6	0	0	0	0
