Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-F2-A8YN-01A-11D-A377-08	4.03E-01	8.15E-01	8.87E-01	8.33E-01	8.28E-01	7.23E-01
TCGA-FB-A4P6-01A-12D-A26I-08	0.00E+00	3.27E-02	4.69E-02	3.68E-02	3.94E-02	4.09E-02
TCGA-FB-A5VM-01A-11D-A32N-08	5.99E-01	1.08E+00	8.65E-01	8.78E-01	9.03E-01	7.52E-01
TCGA-FB-A78T-01A-12D-A32N-08	4.69E-01	9.10E-01	7.86E-01	8.19E-01	5.33E-01	6.96E-01
TCGA-FB-A7DR-01A-21D-A33T-08	5.00E-01	8.19E-01	7.29E-01	7.47E-01	5.82E-01	3.52E-01
TCGA-FB-AAPP-01A-12D-A40W-08	7.03E-01	2.29E+00	1.60E+00	2.25E+00	1.06E+00	5.34E-01
TCGA-FB-AAPQ-01A-11D-A40W-08	5.49E-01	7.11E-01	7.44E-01	7.23E-01	7.38E-01	5.63E-01
TCGA-FB-AAPS-01A-12D-A397-08	3.75E-01	6.12E-01	5.73E-01	6.31E-01	4.31E-01	2.37E-01
TCGA-FB-AAPU-01A-31D-A40W-08	7.65E-01	1.23E+00	1.28E+00	7.08E-01	1.30E+00	1.21E+00
TCGA-FB-AAPY-01A-11D-A40W-08	2.88E-01	7.25E-01	7.19E-01	8.07E-01	4.53E-01	2.65E-01
TCGA-FB-AAPZ-01A-11D-A40W-08	4.29E-01	1.04E+00	6.55E-01	1.07E+00	5.61E-01	3.15E-01
TCGA-FB-AAQ0-01A-31D-A40W-08	2.42E-01	8.81E-01	9.13E-01	8.28E-01	7.76E-01	7.38E-01
TCGA-FB-AAQ1-01A-12D-A40W-08	3.88E-01	6.66E-01	7.55E-01	9.40E-01	2.43E-01	7.35E-02
TCGA-FB-AAQ2-01A-31D-A40W-08	3.07E-01	7.81E-01	4.88E-01	7.31E-01	3.09E-01	1.43E-01
TCGA-FB-AAQ3-01A-11D-A40W-08	5.29E-01	9.67E-01	5.81E-01	7.45E-01	7.96E-01	4.81E-01
TCGA-FB-AAQ6-01A-11D-A40W-08	2.68E-01	1.10E+00	1.25E+00	9.56E-01	9.41E-01	9.18E-01
TCGA-FZ-5919-01A-11D-1609-08	3.79E-01	7.21E-01	6.17E-01	6.45E-01	5.76E-01	4.17E-01
TCGA-FZ-5920-01A-11D-1609-08	5.74E-01	1.20E+00	1.09E+00	1.10E+00	4.97E-01	6.97E-01
TCGA-FZ-5921-01A-11D-1609-08	5.21E-01	1.80E+00	9.63E-01	1.70E+00	9.26E-01	5.53E-01
TCGA-FZ-5922-01A-11D-1609-08	2.54E-01	6.13E-01	7.35E-01	6.44E-01	5.47E-01	6.73E-01
TCGA-FZ-5923-01A-12D-1609-08	3.64E-01	1.57E+00	9.94E-01	1.35E+00	9.06E-01	3.32E-01
TCGA-FZ-5924-01A-13D-1609-08	3.53E-01	8.52E-01	6.27E-01	7.45E-01	4.71E-01	3.48E-01
TCGA-FZ-5926-01A-11D-1609-08	3.59E-02	8.49E-01	6.50E-01	7.78E-01	4.21E-01	3.99E-01
TCGA-H6-8124-01A-11D-2396-08	2.79E-01	8.63E-01	7.10E-01	7.31E-01	6.32E-01	3.55E-01
TCGA-H6-A45N-01A-11D-A26I-08	4.45E-02	4.34E-01	4.83E-01	3.54E-01	4.66E-01	6.44E-01
TCGA-H8-A6C1-01A-11D-A32N-08	7.42E-02	7.38E-01	5.87E-01	7.73E-01	3.74E-01	2.53E-01
TCGA-HV-A5A3-01A-11D-A26I-08	4.93E-01	6.83E-01	6.75E-01	7.87E-01	6.61E-01	5.44E-01
TCGA-HV-A5A4-01A-11D-A26I-08	4.12E-01	7.88E-01	6.54E-01	8.60E-01	3.85E-01	3.08E-01
TCGA-HV-A5A5-01A-11D-A26I-08	7.26E-02	3.14E-01	5.56E-01	3.02E-01	4.47E-01	5.20E-01
TCGA-HV-A5A6-01A-11D-A26I-08	3.77E-01	1.04E+00	1.08E+00	1.05E+00	6.68E-01	5.01E-01
TCGA-HV-A7OL-01A-11D-A33T-08	3.90E-01	9.92E-01	8.55E-01	9.72E-01	9.81E-01	4.45E-01
TCGA-HV-A7OP-01A-11D-A33T-08	6.81E-01	1.51E+00	1.58E+00	9.83E-01	1.71E+00	1.46E+00
TCGA-HV-AA8V-01A-11D-A40W-08	2.83E-01	7.33E-01	5.89E-01	7.15E-01	5.70E-01	3.79E-01
TCGA-HV-AA8X-01A-11D-A397-08	7.16E-01	9.59E-01	9.05E-01	9.22E-01	6.08E-01	3.06E-01
TCGA-HZ-7289-01A-11D-2154-08	7.56E-01	1.47E+00	1.52E+00	1.49E+00	1.22E+00	9.78E-01
TCGA-HZ-7918-01A-11D-2154-08	9.20E-01	7.18E-01	1.31E+00	1.90E-01	1.93E+00	1.93E+00
TCGA-HZ-7919-01A-11D-2154-08	4.00E-02	7.33E-01	1.02E+00	6.33E-01	7.59E-01	1.23E+00
