Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-2L-AAQL-01A-11D-A38G-08	7.26E-01	8.78E-01	1.24E+00	1.20E+00	8.72E-01	6.39E-01	7.78E-01
TCGA-2L-AAQM-01A-11D-A397-08	3.08E-01	5.40E-01	3.06E-01	1.50E-01	8.28E-01	6.23E-01	8.57E-01
TCGA-3A-A9I5-01A-11D-A38G-08	3.63E-01	6.06E-01	4.73E-01	5.15E-01	3.23E-01	2.55E-01	4.94E-01
TCGA-3A-A9I7-01A-21D-A38G-08	2.52E-01	3.05E-01	2.73E-01	2.83E-01	2.60E-01	1.81E-01	2.61E-01
TCGA-3A-A9I9-01A-11D-A38G-08	3.01E-01	1.37E+00	1.20E+00	1.05E+00	1.23E+00	1.69E+00	1.58E+00
TCGA-3A-A9IB-01A-21D-A397-08	2.71E-01	6.46E-01	6.94E-01	6.27E-01	5.80E-01	6.17E-01	3.82E-01
TCGA-3A-A9IC-01A-11D-A38G-08	1.24E-01	7.86E-01	6.40E-01	6.01E-01	9.70E-01	4.13E-01	7.26E-01
TCGA-3A-A9IH-01A-12D-A397-08	4.07E-01	8.99E-01	8.82E-01	9.78E-01	3.81E-01	5.48E-01	7.51E-01
TCGA-3A-A9IJ-01A-11D-A397-08	2.82E-01	4.42E-01	3.54E-01	3.05E-01	4.63E-01	3.01E-01	4.76E-01
TCGA-3A-A9IL-01A-11D-A38G-08	0.00E+00	1.34E-01	1.11E-01	7.77E-02	1.83E-01	1.48E-01	1.94E-01
TCGA-3A-A9IN-01A-11D-A397-08	2.83E-01	5.50E-01	4.79E-01	4.38E-01	3.20E-01	6.06E-01	5.53E-01
TCGA-3A-A9IO-01A-11D-A38G-08	2.21E-01	1.62E-01	2.26E-01	1.23E-01	2.85E-01	1.53E-01	2.23E-01
TCGA-3A-A9IR-01A-11D-A38G-08	2.46E-01	3.73E-01	5.21E-01	4.46E-01	3.24E-01	2.07E-01	3.28E-01
TCGA-3A-A9IS-01A-21D-A397-08	1.56E-01	6.96E-01	4.48E-01	3.51E-01	4.34E-01	8.93E-01	8.52E-01
TCGA-3A-A9IU-01A-11D-A397-08	3.47E-01	6.73E-01	6.65E-01	5.59E-01	6.41E-01	5.11E-01	4.94E-01
TCGA-3A-A9IV-01A-11D-A40W-08	3.88E-01	6.41E-01	6.84E-01	4.69E-01	8.94E-01	7.73E-01	8.13E-01
TCGA-3A-A9IX-01A-11D-A40W-08	0.00E+00	3.30E-01	3.86E-01	4.65E-01	1.97E-01	1.90E-01	1.19E-01
TCGA-3A-A9IZ-01A-12D-A40W-08	3.90E-01	4.96E-01	7.46E-01	4.80E-01	9.58E-01	1.09E+00	9.45E-01
TCGA-3A-A9J0-01A-11D-A40W-08	8.07E-01	1.34E+00	2.04E+00	1.72E+00	1.28E+00	3.41E-01	6.09E-01
TCGA-3E-AAAY-01A-11D-A38G-08	3.60E-01	5.49E-01	4.93E-01	5.40E-01	4.85E-01	2.86E-01	5.17E-01
TCGA-3E-AAAZ-01A-11D-A38G-08	3.34E-01	1.03E+00	1.04E+00	7.69E-01	6.95E-01	5.78E-01	6.25E-01
TCGA-F2-6879-01A-11D-2154-08	2.85E-01	6.79E-01	8.61E-01	8.44E-01	5.33E-01	2.20E-01	3.40E-01
TCGA-F2-6880-01A-11D-2154-08	0.00E+00	2.88E-02	2.19E-02	1.71E-02	3.38E-02	4.73E-02	4.85E-02
TCGA-F2-7273-01A-11D-2154-08	0.00E+00	2.19E-02	1.97E-02	0.00E+00	2.88E-02	4.65E-02	3.38E-02
TCGA-F2-A44G-01A-11D-A26I-08	1.23E-01	6.16E-01	9.60E-01	8.78E-01	6.06E-01	6.50E-01	5.36E-01
TCGA-F2-A44H-01A-11D-A26I-08	1.68E-01	3.88E-01	2.25E-01	3.18E-01	3.33E-01	5.42E-01	5.21E-01
TCGA-F2-A7TX-01A-33D-A38G-08	3.54E-01	7.46E-01	9.48E-01	7.04E-01	6.80E-01	5.93E-01	6.20E-01
TCGA-F2-A8YN-01A-11D-A377-08	3.61E-01	9.14E-01	9.24E-01	8.04E-01	6.55E-01	6.11E-01	7.15E-01
TCGA-FB-A4P6-01A-12D-A26I-08	0.00E+00	3.49E-02	3.38E-02	3.14E-02	3.78E-02	4.02E-02	4.35E-02
TCGA-FB-A5VM-01A-11D-A32N-08	6.07E-01	7.87E-01	1.03E+00	8.09E-01	8.68E-01	9.01E-01	6.79E-01
TCGA-FB-A78T-01A-12D-A32N-08	5.07E-01	6.10E-01	8.68E-01	8.74E-01	6.15E-01	6.79E-01	5.23E-01
TCGA-FB-A7DR-01A-21D-A33T-08	5.01E-01	5.78E-01	8.49E-01	7.50E-01	6.92E-01	2.99E-01	6.60E-01
TCGA-FB-AAPP-01A-12D-A40W-08	7.28E-01	2.05E+00	2.21E+00	2.44E+00	9.29E-01	4.56E-01	8.33E-01
TCGA-FB-AAPQ-01A-11D-A40W-08	4.17E-01	7.19E-01	6.38E-01	7.23E-01	6.50E-01	5.27E-01	5.87E-01
TCGA-FB-AAPS-01A-12D-A397-08	3.47E-01	6.06E-01	6.13E-01	6.54E-01	3.29E-01	1.87E-01	3.58E-01
TCGA-FB-AAPU-01A-31D-A40W-08	7.14E-01	9.86E-01	9.89E-01	7.30E-01	1.18E+00	1.30E+00	1.32E+00
TCGA-FB-AAPY-01A-11D-A40W-08	2.32E-01	7.32E-01	7.27E-01	8.86E-01	3.97E-01	1.56E-01	4.80E-01
TCGA-FB-AAPZ-01A-11D-A40W-08	4.10E-01	6.28E-01	1.12E+00	1.02E+00	5.62E-01	3.59E-01	3.92E-01
TCGA-FB-AAQ0-01A-31D-A40W-08	1.98E-01	6.63E-01	8.76E-01	8.07E-01	6.70E-01	6.04E-01	6.70E-01
TCGA-FB-AAQ1-01A-12D-A40W-08	4.07E-01	8.62E-01	8.46E-01	1.13E+00	2.38E-01	1.25E-01	2.41E-01
