Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-HV-A5A4-01A-11D-A26I-08	4	9	0	3	14	9	0	0	0
TCGA-HV-A5A5-01A-11D-A26I-08	0	8	0	0	0	2	3	4	1
TCGA-HV-A5A6-01A-11D-A26I-08	0	26	2	7	11	0	0	0	0
TCGA-HV-A7OL-01A-11D-A33T-08	0	0	3	23	7	18	0	0	0
TCGA-HV-A7OP-01A-11D-A33T-08	1	3	0	2	14	0	55	0	22
TCGA-HV-AA8V-01A-11D-A40W-08	0	0	0	3	7	15	4	0	5
TCGA-HV-AA8X-01A-11D-A397-08	6	18	14	8	2	2	0	0	0
TCGA-HZ-7289-01A-11D-2154-08	5	3	20	2	0	38	12	0	0
TCGA-HZ-7918-01A-11D-2154-08	20	0	0	0	0	0	15	81	9
TCGA-HZ-7919-01A-11D-2154-08	0	0	0	0	9	0	8	43	0
TCGA-HZ-7920-01A-11D-2201-08	0	0	0	0	0	0	1	0	0
TCGA-HZ-7922-01A-11D-2154-08	5	0	0	0	22	11	0	2	5
TCGA-HZ-7925-01A-11D-2154-08	0	13	0	3	4	6	0	0	0
TCGA-HZ-7926-01A-11D-2154-08	5	5	0	1	2	16	7	1	0
TCGA-HZ-8001-01A-11D-2201-08	0	4	13	12	1	12	3	0	2
TCGA-HZ-8002-01A-11D-2201-08	1	4	2	0	1	1	0	0	0
TCGA-HZ-8003-01A-21D-2201-08	0	5	0	1	1	0	2	4	0
TCGA-HZ-8005-01A-11D-2201-08	0	11	13	7	6	11	0	7	0
TCGA-HZ-8315-01A-11D-2396-08	0	0	5	19	11	0	13	13	0
TCGA-HZ-8317-01A-11D-2396-08	0	0	0	0	3	4	2	4	0
TCGA-HZ-8636-01A-21D-2396-08	0	0	0	11	22	0	0	13	0
TCGA-HZ-8637-01A-11D-2396-08	0	0	0	13	15	0	0	3	0
TCGA-HZ-A49H-01A-11D-A26I-08	0	0	1	7	1	1	0	0	0
TCGA-HZ-A49I-01A-12D-A26I-08	0	1	0	0	5	36	0	3	0
TCGA-HZ-A4BH-01A-11D-A26I-08	0	0	0	29	14	6	15	0	0
TCGA-HZ-A4BK-01A-11D-A26I-08	5	2	1	14	18	0	0	12	0
TCGA-HZ-A77O-01A-11D-A33T-08	0	6	5	6	1	3	0	0	6
TCGA-HZ-A77P-01A-11D-A33T-08	0	0	34	0	7	0	0	2	0
TCGA-HZ-A77Q-01A-11D-A36O-08	0	0	10	4	9	23	0	1	4
TCGA-HZ-A8P0-01A-11D-A36O-08	5	2	3	5	0	19	0	0	5
TCGA-HZ-A8P1-01A-11D-A377-08	0	0	6	21	10	0	1	15	4
TCGA-HZ-A9TJ-01A-11D-A40W-08	0	0	14	24	17	19	11	2	0
TCGA-IB-7644-01A-11D-2154-08	1	0	2	1	8	0	0	11	7
TCGA-IB-7645-01A-22D-2201-08	0	0	10	4	0	15	0	0	0
TCGA-IB-7646-01A-11D-2154-08	0	4	0	10	11	31	1	4	0
TCGA-IB-7647-01A-11D-2154-08	0	22	0	3	14	0	9	1	0
TCGA-IB-7649-01A-11D-2154-08	1	20	0	9	0	7	0	0	0
TCGA-IB-7651-01A-11D-2154-08	11931	2370	1932	1014	0	134	0	0	0
TCGA-IB-7652-01A-11D-2154-08	10	20	0	20	0	27	0	6	5
TCGA-IB-7654-01A-11D-2154-08	0	0	3	0	27	0	8	1	0
TCGA-IB-7885-01A-11D-2154-08	0	0	19	11	4	0	0	6	4
TCGA-IB-7886-01A-11D-2154-08	0	6	0	0	14	23	0	0	6
TCGA-IB-7887-01A-11D-2154-08	0	0	15	2	2	0	0	7	0
TCGA-IB-7888-01A-11D-2154-08	0	0	10	0	0	11	6	0	0
TCGA-IB-7889-01A-11D-2154-08	0	0	10	21	12	0	0	1	0
TCGA-IB-7890-01A-12D-2201-08	0	22	27	0	13	0	0	3	0
TCGA-IB-7891-01A-11D-2201-08	0	0	15	0	10	0	1	0	0
TCGA-IB-7893-01A-11D-2201-08	0	14	0	9	6	8	0	0	0
TCGA-IB-7897-01A-21D-2201-08	0	0	3	0	0	0	0	0	0
TCGA-IB-8126-01A-11D-2396-08	5	0	2	0	0	4	0	0	1
TCGA-IB-8127-01A-11D-2396-08	2	0	0	3	22	14	0	0	0
TCGA-IB-A5SO-01A-11D-A32N-08	0	0	0	0	9	0	17	0	0
TCGA-IB-A5SP-01A-11D-A32N-08	0	0	17	8	8	0	0	8	2
TCGA-IB-A5SQ-01A-11D-A32N-08	8	2	5	0	14	0	5	1	0
TCGA-IB-A5SS-01A-11D-A32N-08	1	0	0	0	11	5	0	0	18
TCGA-IB-A5ST-01A-11D-A32N-08	0	0	0	5	0	2	0	0	0
TCGA-IB-A6UF-01A-23D-A33T-08	0	0	0	24	21	3	0	3	0
TCGA-IB-A6UG-01A-32D-A33T-08	9	6	0	0	32	20	0	0	0
TCGA-IB-A7LX-01A-12D-A36O-08	0	14	1	5	0	0	16	0	0
TCGA-IB-A7M4-01A-11D-A36O-08	0	0	4	6	11	27	0	5	1
TCGA-IB-AAUM-01A-11D-A377-08	0	0	2	0	3	0	10	0	0
TCGA-IB-AAUN-01A-12D-A38G-08	0	4	9	0	4	6	0	0	3
TCGA-IB-AAUO-01A-12D-A38G-08	8	0	14	0	4	13	1	2	1
